time	V(vd)
0.000000000000000e+000	0.000000e+000
1.804151805117727e-005	1.607373e-002
3.608303610235454e-005	3.213678e-002
5.412455415353180e-005	4.818915e-002
7.216607220470908e-005	6.423085e-002
9.020759025588635e-005	8.026186e-002
1.082491083070636e-004	9.628219e-002
1.262906263582408e-004	1.122919e-001
1.555875013582408e-004	1.382183e-001
1.848843763582408e-004	1.640491e-001
2.141812513582408e-004	1.897414e-001
2.434781263582408e-004	2.152293e-001
2.727750013582408e-004	2.404117e-001
3.020718763582409e-004	2.651361e-001
3.313687513582409e-004	2.891825e-001
3.606656263582409e-004	3.122595e-001
3.899625013582409e-004	3.340257e-001
4.192593763582410e-004	3.541466e-001
4.485562513582410e-004	3.723706e-001
4.778531263582410e-004	3.885888e-001
5.071500013582410e-004	4.028452e-001
5.364468763582411e-004	4.153004e-001
5.657437513582411e-004	4.261746e-001
5.950406263582411e-004	4.356994e-001
6.243375013582412e-004	4.440888e-001
6.536343763582412e-004	4.515269e-001
7.122281263582412e-004	4.641360e-001
7.540808049296699e-004	4.713915e-001
7.959334835010985e-004	4.780461e-001
8.377861620725271e-004	4.840998e-001
8.796388406439557e-004	4.895525e-001
9.214915192153843e-004	4.944042e-001
9.633441977868130e-004	4.986551e-001
1.005196876358242e-003	5.023049e-001
1.097272769215384e-003	5.093454e-001
1.189348662072528e-003	5.156447e-001
1.281424554929670e-003	5.212027e-001
1.373500447786813e-003	5.260194e-001
1.465576340643956e-003	5.300949e-001
1.557652233501099e-003	5.334291e-001
1.649728126358242e-003	5.360220e-001
1.905029465643955e-003	5.419315e-001
2.160330804929668e-003	5.457417e-001
2.415632144215381e-003	5.474526e-001
2.670933483501094e-003	5.470642e-001
2.926234822786807e-003	5.445766e-001
3.181536162072520e-003	5.399897e-001
3.436837501358233e-003	5.333035e-001
3.520542858501089e-003	5.305752e-001
3.604248215643946e-003	5.271583e-001
3.687953572786803e-003	5.230527e-001
3.771658929929660e-003	5.182584e-001
3.855364287072517e-003	5.127755e-001
3.939069644215374e-003	5.066039e-001
4.022775001358231e-003	4.997436e-001
4.060442412072517e-003	4.962266e-001
4.098109822786802e-003	4.921985e-001
4.135777233501089e-003	4.876592e-001
4.173444644215375e-003	4.826087e-001
4.211112054929661e-003	4.770470e-001
4.248779465643946e-003	4.709741e-001
4.286446876358233e-003	4.643900e-001
4.345040626358233e-003	4.518400e-001
4.374337501358233e-003	4.444397e-001
4.403634376358234e-003	4.360956e-001
4.432931251358234e-003	4.266251e-001
4.462228126358234e-003	4.158163e-001
4.491525001358234e-003	4.034388e-001
4.520821876358235e-003	3.892712e-001
4.550118751358235e-003	3.731478e-001
4.579415626358235e-003	3.550161e-001
4.608712501358235e-003	3.349770e-001
4.638009376358236e-003	3.132772e-001
4.667306251358236e-003	2.902507e-001
4.696603126358236e-003	2.662406e-001
4.725900001358236e-003	2.415414e-001
4.755196876358237e-003	2.163758e-001
4.784493751358237e-003	1.908992e-001
4.813790626358237e-003	1.652145e-001
4.843087501358237e-003	1.393888e-001
4.872384376358238e-003	1.134660e-001
4.901681251358238e-003	8.747569e-002
4.930978126358238e-003	6.143884e-002
4.989571876358239e-003	9.286355e-003
5.027239287072525e-003	-2.430791e-002
5.064906697786810e-003	-5.784244e-002
5.102574108501097e-003	-9.131725e-002
5.140241519215383e-003	-1.247323e-001
5.177908929929669e-003	-1.580877e-001
5.215576340643954e-003	-1.913833e-001
5.253243751358241e-003	-2.246192e-001
5.349504912072528e-003	-3.095547e-001
5.445766072786814e-003	-3.926190e-001
5.542027233501100e-003	-4.738120e-001
5.638288394215387e-003	-5.531338e-001
5.734549554929674e-003	-6.305843e-001
5.830810715643960e-003	-7.061635e-001
5.927071876358246e-003	-7.798715e-001
6.081926787072534e-003	-8.932576e-001
6.236781697786821e-003	-9.960590e-001
6.391636608501107e-003	-1.088276e+000
6.546491519215394e-003	-1.169908e+000
6.701346429929682e-003	-1.240955e+000
6.856201340643969e-003	-1.301417e+000
7.011056251358255e-003	-1.351295e+000
7.241245983501111e-003	-1.397571e+000
7.471435715643967e-003	-1.415480e+000
7.701625447786823e-003	-1.405021e+000
7.931815179929679e-003	-1.366196e+000
8.162004912072534e-003	-1.299002e+000
8.392194644215390e-003	-1.203442e+000
8.622384376358245e-003	-1.079515e+000
8.743757144215386e-003	-1.005105e+000
8.865129912072526e-003	-9.260804e-001
8.986502679929667e-003	-8.424411e-001
9.107875447786807e-003	-7.541869e-001
9.229248215643946e-003	-6.613179e-001
9.350620983501087e-003	-5.638340e-001
9.471993751358227e-003	-4.617353e-001
9.538958037072512e-003	-4.046887e-001
9.605922322786795e-003	-3.471828e-001
9.672886608501080e-003	-2.892177e-001
9.739850894215365e-003	-2.307935e-001
9.806815179929649e-003	-1.719100e-001
9.873779465643932e-003	-1.125673e-001
9.940743751358217e-003	-5.276541e-002
9.999337501358216e-003	-5.906351e-004
1.005793125135822e-002	5.157360e-002
1.008722812635821e-002	7.762371e-002
1.011652500135821e-002	1.036338e-001
1.014582187635821e-002	1.295851e-001
1.017511875135821e-002	1.554518e-001
1.020441562635821e-002	1.811962e-001
1.023371250135821e-002	2.067614e-001
1.026300937635821e-002	2.320597e-001
1.029230625135821e-002	2.569576e-001
1.032160312635821e-002	2.812589e-001
1.035090000135821e-002	3.046954e-001
1.038019687635821e-002	3.269376e-001
1.040949375135821e-002	3.476405e-001
1.043879062635821e-002	3.665167e-001
1.046808750135821e-002	3.834057e-001
1.049738437635821e-002	3.983029e-001
1.052668125135821e-002	4.113358e-001
1.055597812635820e-002	4.227110e-001
1.058527500135820e-002	4.326607e-001
1.061457187635820e-002	4.414065e-001
1.064386875135820e-002	4.491431e-001
1.070246250135820e-002	4.622144e-001
1.074431517992963e-002	4.696993e-001
1.078616785850106e-002	4.765566e-001
1.082802053707248e-002	4.827862e-001
1.086987321564391e-002	4.883882e-001
1.091172589421534e-002	4.933625e-001
1.095357857278677e-002	4.977092e-001
1.099543125135820e-002	5.014282e-001
1.108750714421534e-002	5.086017e-001
1.117958303707248e-002	5.150176e-001
1.127165892992962e-002	5.206760e-001
1.136373482278676e-002	5.255769e-001
1.145581071564390e-002	5.297202e-001
1.154788660850104e-002	5.331059e-001
1.163996250135818e-002	5.357341e-001
1.189526384064389e-002	5.417270e-001
1.215056517992960e-002	5.456221e-001
1.240586651921531e-002	5.474193e-001
1.266116785850102e-002	5.471186e-001
1.291646919778673e-002	5.447201e-001
1.317177053707243e-002	5.402238e-001
1.342707187635814e-002	5.336296e-001
1.351496250135814e-002	5.308416e-001
1.360285312635814e-002	5.272796e-001
1.369074375135814e-002	5.229436e-001
1.377863437635814e-002	5.178337e-001
1.386652500135813e-002	5.119498e-001
1.395441562635813e-002	5.052920e-001
1.404230625135813e-002	4.978603e-001
1.407997366207242e-002	4.941996e-001
1.411764107278670e-002	4.899799e-001
1.415530848350098e-002	4.852014e-001
1.419297589421527e-002	4.798639e-001
1.423064330492956e-002	4.739674e-001
1.426831071564384e-002	4.675121e-001
1.430597812635812e-002	4.604978e-001
1.436457187635812e-002	4.470032e-001
1.439386875135812e-002	4.389925e-001
1.442316562635812e-002	4.299197e-001
1.445246250135812e-002	4.195820e-001
1.448175937635812e-002	4.077532e-001
1.451105625135812e-002	3.942046e-001
