v1	V(vd)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-002	1.417562e-003
2.000000000000000e-002	2.835108e-003
3.000000000000000e-002	4.252652e-003
4.000000000000000e-002	5.670187e-003
5.000000000000000e-002	7.087714e-003
6.000000000000001e-002	8.505233e-003
7.000000000000001e-002	9.922744e-003
8.000000000000000e-002	1.134025e-002
9.000000000000000e-002	1.275774e-002
9.999999999999999e-002	1.417522e-002
1.100000000000000e-001	1.559270e-002
1.200000000000000e-001	1.701016e-002
1.300000000000000e-001	1.842761e-002
1.400000000000000e-001	1.984506e-002
1.500000000000000e-001	2.126249e-002
1.600000000000000e-001	2.267991e-002
1.700000000000000e-001	2.409732e-002
1.800000000000000e-001	2.551472e-002
1.900000000000000e-001	2.693210e-002
2.000000000000000e-001	2.834947e-002
2.100000000000001e-001	2.976684e-002
2.200000000000001e-001	3.118418e-002
2.300000000000001e-001	3.260151e-002
2.400000000000001e-001	3.401883e-002
2.500000000000001e-001	3.543614e-002
2.600000000000001e-001	3.685343e-002
2.700000000000001e-001	3.827070e-002
2.800000000000001e-001	3.968796e-002
2.900000000000001e-001	4.110520e-002
3.000000000000001e-001	4.252242e-002
3.100000000000001e-001	4.393963e-002
3.200000000000001e-001	4.535682e-002
3.300000000000001e-001	4.677399e-002
3.400000000000001e-001	4.819114e-002
3.500000000000001e-001	4.960827e-002
3.600000000000002e-001	5.102538e-002
3.700000000000002e-001	5.244247e-002
3.800000000000002e-001	5.385954e-002
3.900000000000002e-001	5.527658e-002
4.000000000000002e-001	5.669361e-002
4.100000000000002e-001	5.811060e-002
4.200000000000002e-001	5.952758e-002
4.300000000000002e-001	6.094453e-002
4.400000000000002e-001	6.236145e-002
4.500000000000002e-001	6.377835e-002
4.600000000000002e-001	6.519522e-002
4.700000000000003e-001	6.661206e-002
4.800000000000003e-001	6.802887e-002
4.900000000000003e-001	6.944565e-002
5.000000000000002e-001	7.086241e-002
5.100000000000002e-001	7.227913e-002
5.200000000000002e-001	7.369581e-002
5.300000000000003e-001	7.511246e-002
5.400000000000003e-001	7.652908e-002
5.500000000000003e-001	7.794566e-002
5.600000000000003e-001	7.936221e-002
5.700000000000003e-001	8.077871e-002
5.800000000000003e-001	8.219518e-002
5.900000000000003e-001	8.361161e-002
6.000000000000003e-001	8.502799e-002
6.100000000000003e-001	8.644433e-002
6.200000000000003e-001	8.786063e-002
6.300000000000003e-001	8.927688e-002
6.400000000000004e-001	9.069308e-002
6.500000000000004e-001	9.210923e-002
6.600000000000004e-001	9.352534e-002
6.700000000000004e-001	9.494139e-002
6.800000000000004e-001	9.635740e-002
6.900000000000004e-001	9.777334e-002
7.000000000000004e-001	9.918923e-002
7.100000000000004e-001	1.006051e-001
7.200000000000004e-001	1.020208e-001
7.300000000000004e-001	1.034365e-001
7.400000000000004e-001	1.048522e-001
7.500000000000004e-001	1.062678e-001
7.600000000000005e-001	1.076833e-001
7.700000000000005e-001	1.090987e-001
7.800000000000005e-001	1.105141e-001
7.900000000000005e-001	1.119294e-001
8.000000000000005e-001	1.133446e-001
8.100000000000005e-001	1.147598e-001
8.200000000000005e-001	1.161748e-001
8.300000000000005e-001	1.175898e-001
8.400000000000005e-001	1.190047e-001
8.500000000000005e-001	1.204195e-001
8.600000000000005e-001	1.218342e-001
8.700000000000006e-001	1.232488e-001
8.800000000000006e-001	1.246634e-001
8.900000000000006e-001	1.260778e-001
9.000000000000006e-001	1.274921e-001
9.100000000000006e-001	1.289063e-001
9.200000000000006e-001	1.303204e-001
9.300000000000006e-001	1.317344e-001
9.400000000000006e-001	1.331483e-001
9.500000000000006e-001	1.345621e-001
9.600000000000006e-001	1.359757e-001
9.700000000000006e-001	1.373892e-001
9.800000000000007e-001	1.388026e-001
9.900000000000007e-001	1.402159e-001
1.000000000000001e+000	1.416290e-001
1.010000000000001e+000	1.430419e-001
1.020000000000001e+000	1.444548e-001
1.030000000000001e+000	1.458674e-001
1.040000000000001e+000	1.472799e-001
1.050000000000001e+000	1.486923e-001
1.060000000000001e+000	1.501045e-001
1.070000000000001e+000	1.515165e-001
1.080000000000001e+000	1.529284e-001
1.090000000000001e+000	1.543400e-001
1.100000000000001e+000	1.557515e-001
1.110000000000001e+000	1.571628e-001
1.120000000000001e+000	1.585739e-001
1.130000000000001e+000	1.599848e-001
1.140000000000001e+000	1.613954e-001
1.150000000000001e+000	1.628059e-001
1.160000000000001e+000	1.642162e-001
1.170000000000001e+000	1.656262e-001
1.180000000000001e+000	1.670360e-001
