#v1	V(vd)	Vvd
#simulazione con valori ricavati da analisi circuito 1 con generatore in dc da 0 a 10 Volt
#si trova la v_on con doppio fit
0	    0	    0
0.01	0.001417562	1.417562
0.02	0.002835108	2.835108
0.03	0.004252652	4.252652
0.04	0.005670187	5.670187
0.05	0.007087714	7.087714
0.06	0.008505233	8.505233
0.07	0.009922744	9.922744
0.08	0.01134025	11.34025
0.09	0.01275774	12.75774
0.1	    0.01417522	14.17522
0.11	0.0155927	15.5927
0.12	0.01701016	17.01016
0.13	0.01842761	18.42761
0.14	0.01984506	19.84506
0.15	0.02126249	21.26249
0.16	0.02267991	22.67991
0.17	0.02409732	24.09732
0.18	0.02551472	25.51472
0.19	0.0269321	26.9321
0.2	    0.02834947	28.34947
0.21	0.02976684	29.76684
0.22	0.03118418	31.18418
0.23	0.03260151	32.60151
0.24	0.03401883	34.01883
0.25	0.03543614	35.43614
0.26	0.03685343	36.85343
0.27	0.0382707	38.2707
0.28	0.03968796	39.68796
0.29	0.0411052	41.1052
0.3	    0.04252242	42.52242
0.31	0.04393963	43.93963
0.32	0.04535682	45.35682
0.33	0.04677399	46.77399
0.34	0.04819114	48.19114
0.35	0.04960827	49.60827
0.36	0.05102538	51.02538
0.37	0.05244247	52.44247
0.38	0.05385954	53.85954
0.39	0.05527658	55.27658
0.4	0.05669361	56.69361
0.41	0.0581106	58.1106
0.42	0.05952758	59.52758
0.43	0.06094453	60.94453
0.44	0.06236145	62.36145
0.45	0.06377835	63.77835
0.46	0.06519522	65.19522
0.47	0.06661206	66.61206
0.48	0.06802887	68.02887
0.49	0.06944565	69.44565
0.5	0.07086241	70.86241
0.51	0.07227913	72.27913
0.52	0.07369581	73.69581
0.53	0.07511246	75.11246
0.54	0.07652908	76.52908
0.55	0.07794566	77.94566
0.56	0.07936221	79.36221
0.57	0.08077871	80.77871
0.58	0.08219518	82.19518
0.59	0.08361161	83.61161
0.6	0.08502799	85.02799
0.61	0.08644433	86.44433
0.62	0.08786063	87.86063
0.63	0.08927688	89.27688
0.64	0.09069308	90.69308
0.65	0.09210923	92.10923
0.66	0.09352534	93.52534
0.67	0.09494139	94.94139
0.68	0.0963574	96.3574
0.69	0.09777334	97.77334
0.7	0.09918923	99.18923
0.71	0.1006051	100.6051
0.72	0.1020208	102.0208
0.73	0.1034365	103.4365
0.74	0.1048522	104.8522
0.75	0.1062678	106.2678
0.76	0.1076833	107.6833
0.77	0.1090987	109.0987
0.78	0.1105141	110.5141
0.790000000000001	0.1119294	111.9294
0.8	0.1133446	113.3446
0.810000000000001	0.1147598	114.7598
0.82	0.1161748	116.1748
0.83	0.1175898	117.5898
0.84	0.1190047	119.0047
0.850000000000001	0.1204195	120.4195
0.860000000000001	0.1218342	121.8342
0.87	0.1232488	123.2488
0.88	0.1246634	124.6634
0.890000000000001	0.1260778	126.0778
0.900000000000001	0.1274921	127.4921
0.910000000000001	0.1289063	128.9063
0.92	0.1303204	130.3204
0.930000000000001	0.1317344	131.7344
0.940000000000001	0.1331483	133.1483
0.950000000000001	0.1345621	134.5621
0.960000000000001	0.1359757	135.9757
0.970000000000001	0.1373892	137.3892
0.980000000000001	0.1388026	138.8026
0.990000000000001	0.1402159	140.2159
1	0.141629	141.629
1.01	0.1430419	143.0419
1.02	0.1444548	144.4548
1.03	0.1458674	145.8674
1.04	0.1472799	147.2799
1.05	0.1486923	148.6923
1.06	0.1501045	150.1045
