v1	V(vd)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-003	1.402508e-004
2.000000000000000e-003	2.805017e-004
3.000000000000000e-003	4.207525e-004
4.000000000000000e-003	5.610034e-004
5.000000000000000e-003	7.012542e-004
6.000000000000000e-003	8.415051e-004
7.000000000000000e-003	9.817559e-004
8.000000000000000e-003	1.122007e-003
9.000000000000001e-003	1.262258e-003
1.000000000000000e-002	1.402508e-003
1.100000000000000e-002	1.542759e-003
1.200000000000000e-002	1.683010e-003
1.300000000000001e-002	1.823261e-003
1.400000000000001e-002	1.963512e-003
1.500000000000001e-002	2.103763e-003
1.600000000000001e-002	2.244014e-003
1.700000000000001e-002	2.384264e-003
1.800000000000001e-002	2.524515e-003
1.900000000000001e-002	2.664766e-003
2.000000000000001e-002	2.805017e-003
2.100000000000001e-002	2.945268e-003
2.200000000000001e-002	3.085518e-003
2.300000000000001e-002	3.225769e-003
2.400000000000001e-002	3.366020e-003
2.500000000000002e-002	3.506271e-003
2.600000000000002e-002	3.646522e-003
2.700000000000002e-002	3.786773e-003
2.800000000000002e-002	3.927024e-003
2.900000000000002e-002	4.067275e-003
3.000000000000002e-002	4.207525e-003
3.100000000000002e-002	4.347776e-003
3.200000000000002e-002	4.488027e-003
3.300000000000002e-002	4.628278e-003
3.400000000000002e-002	4.768529e-003
3.500000000000002e-002	4.908780e-003
3.600000000000003e-002	5.049030e-003
3.700000000000003e-002	5.189281e-003
3.800000000000003e-002	5.329532e-003
3.900000000000003e-002	5.469783e-003
4.000000000000003e-002	5.610034e-003
4.100000000000003e-002	5.750285e-003
4.200000000000003e-002	5.890536e-003
4.300000000000003e-002	6.030786e-003
4.400000000000003e-002	6.171037e-003
4.500000000000003e-002	6.311288e-003
4.600000000000003e-002	6.451539e-003
4.700000000000004e-002	6.591790e-003
4.800000000000004e-002	6.732041e-003
4.900000000000004e-002	6.872291e-003
5.000000000000004e-002	7.012542e-003
5.100000000000004e-002	7.152793e-003
5.200000000000004e-002	7.293044e-003
5.300000000000004e-002	7.433295e-003
5.400000000000004e-002	7.573545e-003
5.500000000000004e-002	7.713797e-003
5.600000000000004e-002	7.854047e-003
5.700000000000004e-002	7.994298e-003
5.800000000000005e-002	8.134549e-003
5.900000000000005e-002	8.274800e-003
6.000000000000005e-002	8.415051e-003
6.100000000000005e-002	8.555301e-003
6.200000000000005e-002	8.695552e-003
6.300000000000004e-002	8.835804e-003
6.400000000000004e-002	8.976054e-003
6.500000000000004e-002	9.116305e-003
6.600000000000005e-002	9.256556e-003
6.700000000000005e-002	9.396806e-003
6.800000000000005e-002	9.537057e-003
6.900000000000005e-002	9.677309e-003
7.000000000000005e-002	9.817559e-003
7.100000000000005e-002	9.957810e-003
7.200000000000005e-002	1.009806e-002
7.300000000000005e-002	1.023831e-002
7.400000000000005e-002	1.037856e-002
7.500000000000005e-002	1.051881e-002
7.600000000000005e-002	1.065906e-002
7.700000000000006e-002	1.079931e-002
7.800000000000006e-002	1.093957e-002
7.900000000000006e-002	1.107982e-002
8.000000000000006e-002	1.122007e-002
8.100000000000006e-002	1.136032e-002
8.200000000000006e-002	1.150057e-002
8.300000000000006e-002	1.164082e-002
8.400000000000006e-002	1.178107e-002
8.500000000000006e-002	1.192132e-002
8.600000000000006e-002	1.206157e-002
8.700000000000006e-002	1.220182e-002
8.800000000000006e-002	1.234207e-002
8.900000000000007e-002	1.248233e-002
9.000000000000007e-002	1.262258e-002
9.100000000000007e-002	1.276283e-002
9.200000000000007e-002	1.290308e-002
9.300000000000007e-002	1.304333e-002
9.400000000000007e-002	1.318358e-002
9.500000000000007e-002	1.332383e-002
9.600000000000007e-002	1.346408e-002
9.700000000000007e-002	1.360433e-002
9.800000000000007e-002	1.374458e-002
9.900000000000007e-002	1.388483e-002
1.000000000000001e-001	1.402508e-002
1.010000000000001e-001	1.416534e-002
1.020000000000001e-001	1.430559e-002
1.030000000000001e-001	1.444584e-002
1.040000000000001e-001	1.458609e-002
1.050000000000001e-001	1.472634e-002
1.060000000000001e-001	1.486659e-002
1.070000000000001e-001	1.500684e-002
1.080000000000001e-001	1.514709e-002
1.090000000000001e-001	1.528734e-002
1.100000000000001e-001	1.542759e-002
1.110000000000001e-001	1.556784e-002
1.120000000000001e-001	1.570809e-002
1.130000000000001e-001	1.584835e-002
1.140000000000001e-001	1.598860e-002
1.150000000000001e-001	1.612885e-002
1.160000000000001e-001	1.626910e-002
1.170000000000001e-001	1.640935e-002
1.180000000000001e-001	1.654960e-002
1.190000000000001e-001	1.668985e-002
1.200000000000001e-001	1.683010e-002
1.210000000000001e-001	1.697035e-002
1.220000000000001e-001	1.711060e-002
1.230000000000001e-001	1.725085e-002
1.240000000000001e-001	1.739110e-002
1.250000000000001e-001	1.753136e-002
1.260000000000001e-001	1.767161e-002
1.270000000000001e-001	1.781186e-002
1.280000000000001e-001	1.795211e-002
1.290000000000001e-001	1.809236e-002
1.300000000000001e-001	1.823261e-002
1.310000000000001e-001	1.837286e-002
1.320000000000001e-001	1.851311e-002
1.330000000000001e-001	1.865336e-002
1.340000000000001e-001	1.879361e-002
1.350000000000001e-001	1.893386e-002
1.360000000000001e-001	1.907411e-002
1.370000000000001e-001	1.921437e-002
1.380000000000001e-001	1.935462e-002
1.390000000000001e-001	1.949487e-002
1.400000000000001e-001	1.963512e-002
1.410000000000001e-001	1.977537e-002
1.420000000000001e-001	1.991562e-002
1.430000000000001e-001	2.005587e-002
1.440000000000001e-001	2.019612e-002
1.450000000000001e-001	2.033637e-002
1.460000000000001e-001	2.047662e-002
1.470000000000001e-001	2.061687e-002
1.480000000000001e-001	2.075713e-002
1.490000000000001e-001	2.089738e-002
1.500000000000001e-001	2.103763e-002
1.510000000000001e-001	2.117788e-002
1.520000000000001e-001	2.131813e-002
1.530000000000001e-001	2.145838e-002
1.540000000000001e-001	2.159863e-002
1.550000000000001e-001	2.173888e-002
1.560000000000001e-001	2.187913e-002
1.570000000000001e-001	2.201938e-002
1.580000000000001e-001	2.215963e-002
1.590000000000001e-001	2.229988e-002
1.600000000000001e-001	2.244014e-002
1.610000000000001e-001	2.258039e-002
1.620000000000001e-001	2.272064e-002
1.630000000000001e-001	2.286089e-002
1.640000000000001e-001	2.300114e-002
1.650000000000001e-001	2.314139e-002
1.660000000000001e-001	2.328164e-002
1.670000000000001e-001	2.342189e-002
1.680000000000001e-001	2.356214e-002
1.690000000000001e-001	2.370239e-002
1.700000000000001e-001	2.384264e-002
1.710000000000001e-001	2.398289e-002
1.720000000000001e-001	2.412315e-002
1.730000000000001e-001	2.426340e-002
1.740000000000001e-001	2.440365e-002
1.750000000000001e-001	2.454390e-002
1.760000000000001e-001	2.468415e-002
1.770000000000001e-001	2.482440e-002
1.780000000000001e-001	2.496465e-002
1.790000000000001e-001	2.510490e-002
1.800000000000001e-001	2.524515e-002
1.810000000000001e-001	2.538540e-002
1.820000000000001e-001	2.552565e-002
1.830000000000001e-001	2.566591e-002
1.840000000000001e-001	2.580616e-002
1.850000000000001e-001	2.594641e-002
1.860000000000001e-001	2.608666e-002
1.870000000000001e-001	2.622691e-002
1.880000000000001e-001	2.636716e-002
1.890000000000001e-001	2.650741e-002
1.900000000000001e-001	2.664766e-002
1.910000000000001e-001	2.678791e-002
1.920000000000001e-001	2.692816e-002
1.930000000000001e-001	2.706841e-002
1.940000000000001e-001	2.720866e-002
1.950000000000002e-001	2.734892e-002
1.960000000000002e-001	2.748916e-002
1.970000000000002e-001	2.762942e-002
1.980000000000002e-001	2.776967e-002
1.990000000000002e-001	2.790992e-002
2.000000000000002e-001	2.805017e-002
2.010000000000002e-001	2.819042e-002
2.020000000000002e-001	2.833067e-002
2.030000000000002e-001	2.847092e-002
2.040000000000002e-001	2.861117e-002
2.050000000000002e-001	2.875142e-002
2.060000000000002e-001	2.889167e-002
2.070000000000002e-001	2.903192e-002
2.080000000000002e-001	2.917218e-002
2.090000000000002e-001	2.931243e-002
2.100000000000002e-001	2.945268e-002
2.110000000000002e-001	2.959293e-002
2.120000000000002e-001	2.973318e-002
2.130000000000002e-001	2.987343e-002
2.140000000000002e-001	3.001368e-002
2.150000000000002e-001	3.015393e-002
2.160000000000002e-001	3.029418e-002
2.170000000000002e-001	3.043443e-002
2.180000000000002e-001	3.057468e-002
2.190000000000002e-001	3.071493e-002
2.200000000000002e-001	3.085519e-002
2.210000000000002e-001	3.099544e-002
2.220000000000002e-001	3.113569e-002
2.230000000000002e-001	3.127594e-002
2.240000000000002e-001	3.141619e-002
2.250000000000002e-001	3.155644e-002
2.260000000000002e-001	3.169669e-002
2.270000000000002e-001	3.183694e-002
2.280000000000002e-001	3.197719e-002
2.290000000000002e-001	3.211745e-002
2.300000000000002e-001	3.225769e-002
