#v1	V(vd)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-003	1.417477e-004
2.000000000000000e-003	2.834952e-004
3.000000000000000e-003	4.252427e-004
4.000000000000000e-003	5.669901e-004
5.000000000000000e-003	7.087373e-004
6.000000000000000e-003	8.504845e-004
7.000000000000000e-003	9.922315e-004
8.000000000000000e-003	1.133978e-003
9.000000000000001e-003	1.275725e-003
1.000000000000000e-002	1.417472e-003
1.100000000000000e-002	1.559219e-003
1.200000000000000e-002	1.700965e-003
1.300000000000001e-002	1.842712e-003
1.400000000000001e-002	1.984458e-003
1.500000000000001e-002	2.126204e-003
1.600000000000001e-002	2.267950e-003
1.700000000000001e-002	2.409696e-003
1.800000000000001e-002	2.551442e-003
1.900000000000001e-002	2.693188e-003
2.000000000000001e-002	2.834934e-003
2.100000000000001e-002	2.976679e-003
2.200000000000001e-002	3.118425e-003
2.300000000000001e-002	3.260170e-003
2.400000000000001e-002	3.401916e-003
2.500000000000002e-002	3.543661e-003
2.600000000000002e-002	3.685406e-003
2.700000000000002e-002	3.827151e-003
2.800000000000002e-002	3.968895e-003
2.900000000000002e-002	4.110640e-003
3.000000000000002e-002	4.252385e-003
3.100000000000002e-002	4.394129e-003
3.200000000000002e-002	4.535874e-003
3.300000000000002e-002	4.677618e-003
3.400000000000002e-002	4.819362e-003
3.500000000000002e-002	4.961106e-003
3.600000000000003e-002	5.102850e-003
3.700000000000003e-002	5.244594e-003
3.800000000000003e-002	5.386338e-003
3.900000000000003e-002	5.528081e-003
4.000000000000003e-002	5.669825e-003
4.100000000000003e-002	5.811568e-003
4.200000000000003e-002	5.953311e-003
4.300000000000003e-002	6.095055e-003
4.400000000000003e-002	6.236798e-003
4.500000000000003e-002	6.378541e-003
4.600000000000003e-002	6.520283e-003
4.700000000000004e-002	6.662026e-003
4.800000000000004e-002	6.803769e-003
4.900000000000004e-002	6.945511e-003
5.000000000000004e-002	7.087253e-003
5.100000000000004e-002	7.228996e-003
5.200000000000004e-002	7.370738e-003
5.300000000000004e-002	7.512480e-003
5.400000000000004e-002	7.654222e-003
5.500000000000004e-002	7.795963e-003
5.600000000000004e-002	7.937705e-003
5.700000000000004e-002	8.079447e-003
5.800000000000005e-002	8.221188e-003
5.900000000000005e-002	8.362929e-003
6.000000000000005e-002	8.504670e-003
6.100000000000005e-002	8.646412e-003
6.200000000000005e-002	8.788153e-003
6.300000000000004e-002	8.929893e-003
6.400000000000004e-002	9.071634e-003
6.500000000000004e-002	9.213374e-003
6.600000000000005e-002	9.355115e-003
6.700000000000005e-002	9.496855e-003
6.800000000000005e-002	9.638595e-003
6.900000000000005e-002	9.780335e-003
7.000000000000005e-002	9.922075e-003
7.100000000000005e-002	1.006381e-002
7.200000000000005e-002	1.020555e-002
7.300000000000005e-002	1.034729e-002
7.400000000000005e-002	1.048903e-002
7.500000000000005e-002	1.063077e-002
7.600000000000005e-002	1.077251e-002
7.700000000000006e-002	1.091425e-002
7.800000000000006e-002	1.105599e-002
7.900000000000006e-002	1.119773e-002
8.000000000000006e-002	1.133947e-002
8.100000000000006e-002	1.148121e-002
8.200000000000006e-002	1.162294e-002
8.300000000000006e-002	1.176468e-002
8.400000000000006e-002	1.190642e-002
8.500000000000006e-002	1.204816e-002
8.600000000000006e-002	1.218990e-002
8.700000000000006e-002	1.233163e-002
8.800000000000006e-002	1.247337e-002
8.900000000000007e-002	1.261511e-002
9.000000000000007e-002	1.275685e-002
9.100000000000007e-002	1.289858e-002
9.200000000000007e-002	1.304032e-002
9.300000000000007e-002	1.318206e-002
9.400000000000007e-002	1.332380e-002
9.500000000000007e-002	1.346553e-002
9.600000000000007e-002	1.360727e-002
9.700000000000007e-002	1.374900e-002
9.800000000000007e-002	1.389074e-002
9.900000000000007e-002	1.403248e-002
1.000000000000001e-001	1.417421e-002
1.010000000000001e-001	1.431595e-002
1.020000000000001e-001	1.445768e-002
1.030000000000001e-001	1.459942e-002
1.040000000000001e-001	1.474116e-002
1.050000000000001e-001	1.488289e-002
1.060000000000001e-001	1.502463e-002
1.070000000000001e-001	1.516636e-002
1.080000000000001e-001	1.530810e-002
1.090000000000001e-001	1.544983e-002
1.100000000000001e-001	1.559157e-002
1.110000000000001e-001	1.573330e-002
1.120000000000001e-001	1.587503e-002
1.130000000000001e-001	1.601677e-002
1.140000000000001e-001	1.615850e-002
1.150000000000001e-001	1.630024e-002
1.160000000000001e-001	1.644197e-002
1.170000000000001e-001	1.658370e-002
1.180000000000001e-001	1.672544e-002
1.190000000000001e-001	1.686717e-002
1.200000000000001e-001	1.700890e-002
1.210000000000001e-001	1.715064e-002
1.220000000000001e-001	1.729237e-002
1.230000000000001e-001	1.743410e-002
1.240000000000001e-001	1.757584e-002
1.250000000000001e-001	1.771757e-002
1.260000000000001e-001	1.785930e-002
1.270000000000001e-001	1.800103e-002
1.280000000000001e-001	1.814276e-002
1.290000000000001e-001	1.828450e-002
1.300000000000001e-001	1.842623e-002
1.310000000000001e-001	1.856796e-002
1.320000000000001e-001	1.870969e-002
1.330000000000001e-001	1.885142e-002
1.340000000000001e-001	1.899315e-002
1.350000000000001e-001	1.913488e-002
1.360000000000001e-001	1.927662e-002
1.370000000000001e-001	1.941835e-002
1.380000000000001e-001	1.956008e-002
1.390000000000001e-001	1.970181e-002
1.400000000000001e-001	1.984354e-002
1.410000000000001e-001	1.998527e-002
1.420000000000001e-001	2.012700e-002
1.430000000000001e-001	2.026873e-002
1.440000000000001e-001	2.041046e-002
1.450000000000001e-001	2.055218e-002
1.460000000000001e-001	2.069391e-002
1.470000000000001e-001	2.083564e-002
1.480000000000001e-001	2.097737e-002
1.490000000000001e-001	2.111910e-002
1.500000000000001e-001	2.126083e-002
1.510000000000001e-001	2.140256e-002
1.520000000000001e-001	2.154429e-002
1.530000000000001e-001	2.168601e-002
1.540000000000001e-001	2.182774e-002
1.550000000000001e-001	2.196947e-002
1.560000000000001e-001	2.211120e-002
1.570000000000001e-001	2.225292e-002
1.580000000000001e-001	2.239465e-002
1.590000000000001e-001	2.253638e-002
1.600000000000001e-001	2.267811e-002
1.610000000000001e-001	2.281983e-002
1.620000000000001e-001	2.296156e-002
1.630000000000001e-001	2.310329e-002
1.640000000000001e-001	2.324501e-002
1.650000000000001e-001	2.338674e-002
1.660000000000001e-001	2.352846e-002
1.670000000000001e-001	2.367019e-002
1.680000000000001e-001	2.381192e-002
1.690000000000001e-001	2.395364e-002
1.700000000000001e-001	2.409537e-002
1.710000000000001e-001	2.423709e-002
1.720000000000001e-001	2.437882e-002
1.730000000000001e-001	2.452054e-002
1.740000000000001e-001	2.466227e-002
1.750000000000001e-001	2.480399e-002
1.760000000000001e-001	2.494572e-002
1.770000000000001e-001	2.508744e-002
1.780000000000001e-001	2.522916e-002
1.790000000000001e-001	2.537089e-002
1.800000000000001e-001	2.551261e-002
1.810000000000001e-001	2.565433e-002
1.820000000000001e-001	2.579606e-002
1.830000000000001e-001	2.593778e-002
1.840000000000001e-001	2.607950e-002
1.850000000000001e-001	2.622123e-002
1.860000000000001e-001	2.636295e-002
1.870000000000001e-001	2.650467e-002
1.880000000000001e-001	2.664639e-002
1.890000000000001e-001	2.678811e-002
1.900000000000001e-001	2.692984e-002
1.910000000000001e-001	2.707156e-002
1.920000000000001e-001	2.721328e-002
1.930000000000001e-001	2.735500e-002
1.940000000000001e-001	2.749672e-002
1.950000000000002e-001	2.763844e-002
1.960000000000002e-001	2.778016e-002
1.970000000000002e-001	2.792188e-002
1.980000000000002e-001	2.806360e-002
1.990000000000002e-001	2.820532e-002
2.000000000000002e-001	2.834704e-002
2.010000000000002e-001	2.848876e-002
2.020000000000002e-001	2.863048e-002
2.030000000000002e-001	2.877220e-002
2.040000000000002e-001	2.891392e-002
2.050000000000002e-001	2.905564e-002
2.060000000000002e-001	2.919736e-002
2.070000000000002e-001	2.933908e-002
2.080000000000002e-001	2.948080e-002
2.090000000000002e-001	2.962252e-002
2.100000000000002e-001	2.976423e-002
2.110000000000002e-001	2.990595e-002
2.120000000000002e-001	3.004767e-002
2.130000000000002e-001	3.018939e-002
2.140000000000002e-001	3.033110e-002
2.150000000000002e-001	3.047282e-002
2.160000000000002e-001	3.061454e-002
2.170000000000002e-001	3.075625e-002
2.180000000000002e-001	3.089797e-002
2.190000000000002e-001	3.103969e-002
2.200000000000002e-001	3.118140e-002
2.210000000000002e-001	3.132312e-002
2.220000000000002e-001	3.146483e-002
2.230000000000002e-001	3.160655e-002
2.240000000000002e-001	3.174827e-002
2.250000000000002e-001	3.188998e-002
2.260000000000002e-001	3.203170e-002
2.270000000000002e-001	3.217341e-002
2.280000000000002e-001	3.231512e-002
2.290000000000002e-001	3.245684e-002
2.300000000000002e-001	3.259855e-002
2.310000000000002e-001	3.274027e-002
2.320000000000002e-001	3.288198e-002
2.330000000000002e-001	3.302369e-002
2.340000000000002e-001	3.316541e-002
2.350000000000002e-001	3.330712e-002
2.360000000000002e-001	3.344883e-002
2.370000000000002e-001	3.359054e-002
2.380000000000002e-001	3.373226e-002
2.390000000000002e-001	3.387397e-002
2.400000000000002e-001	3.401568e-002
2.410000000000002e-001	3.415739e-002
2.420000000000002e-001	3.429911e-002
2.430000000000002e-001	3.444082e-002
2.440000000000002e-001	3.458253e-002
2.450000000000002e-001	3.472424e-002
2.460000000000002e-001	3.486595e-002
2.470000000000002e-001	3.500766e-002
2.480000000000002e-001	3.514937e-002
2.490000000000002e-001	3.529108e-002
2.500000000000002e-001	3.543279e-002
2.510000000000002e-001	3.557450e-002
2.520000000000002e-001	3.571621e-002
2.530000000000002e-001	3.585792e-002
2.540000000000002e-001	3.599963e-002
2.550000000000002e-001	3.614134e-002
2.560000000000002e-001	3.628304e-002
2.570000000000002e-001	3.642475e-002
2.580000000000002e-001	3.656646e-002
2.590000000000002e-001	3.670817e-002
2.600000000000002e-001	3.684988e-002
2.610000000000002e-001	3.699158e-002
2.620000000000002e-001	3.713329e-002
2.630000000000002e-001	3.727500e-002
2.640000000000002e-001	3.741670e-002
2.650000000000002e-001	3.755841e-002
2.660000000000002e-001	3.770012e-002
2.670000000000002e-001	3.784182e-002
2.680000000000002e-001	3.798353e-002
2.690000000000002e-001	3.812523e-002
2.700000000000002e-001	3.826694e-002
2.710000000000002e-001	3.840864e-002
2.720000000000002e-001	3.855035e-002
2.730000000000002e-001	3.869205e-002
2.740000000000002e-001	3.883376e-002
2.750000000000002e-001	3.897546e-002
2.760000000000002e-001	3.911716e-002
2.770000000000002e-001	3.925887e-002
2.780000000000002e-001	3.940057e-002
2.790000000000002e-001	3.954228e-002
2.800000000000002e-001	3.968398e-002
2.810000000000002e-001	3.982568e-002
2.820000000000002e-001	3.996738e-002
2.830000000000002e-001	4.010909e-002
2.840000000000002e-001	4.025079e-002
2.850000000000002e-001	4.039249e-002
2.860000000000002e-001	4.053419e-002
2.870000000000002e-001	4.067589e-002
2.880000000000002e-001	4.081759e-002
2.890000000000002e-001	4.095929e-002
2.900000000000002e-001	4.110099e-002
2.910000000000002e-001	4.124270e-002
2.920000000000002e-001	4.138440e-002
2.930000000000002e-001	4.152609e-002
2.940000000000002e-001	4.166779e-002
2.950000000000002e-001	4.180949e-002
2.960000000000002e-001	4.195119e-002
2.970000000000002e-001	4.209289e-002
2.980000000000002e-001	4.223459e-002
2.990000000000002e-001	4.237629e-002
3.000000000000002e-001	4.251799e-002
3.010000000000002e-001	4.265969e-002
3.020000000000002e-001	4.280138e-002
3.030000000000002e-001	4.294308e-002
3.040000000000002e-001	4.308477e-002
3.050000000000002e-001	4.322647e-002
3.060000000000002e-001	4.336817e-002
3.070000000000002e-001	4.350986e-002
3.080000000000002e-001	4.365156e-002
3.090000000000002e-001	4.379326e-002
3.100000000000002e-001	4.393495e-002
3.110000000000002e-001	4.407665e-002
3.120000000000002e-001	4.421834e-002
3.130000000000002e-001	4.436003e-002
3.140000000000002e-001	4.450173e-002
3.150000000000002e-001	4.464342e-002
3.160000000000002e-001	4.478512e-002
3.170000000000002e-001	4.492681e-002
