time	V(a)	V(b)	V(out)	V(n002)
0.000000000000000e+000	7.996380e+000	3.992761e+000	2.906920e+000	0.000000e+000
4.618749988886912e-007	8.141456e+000	4.064952e+000	2.909766e+000	1.453284e-001
9.237499977773823e-007	8.285904e+000	4.136830e+000	2.912482e+000	2.902495e-001
1.385624996666073e-006	8.429725e+000	4.208396e+000	2.915068e+000	4.347632e-001
1.847499995554765e-006	8.572918e+000	4.279648e+000	2.917525e+000	5.788696e-001
2.309374994443456e-006	8.715484e+000	4.350588e+000	2.919853e+000	7.225686e-001
2.771249993332147e-006	8.857423e+000	4.421215e+000	2.922051e+000	8.658603e-001
3.233124992220837e-006	8.998734e+000	4.491529e+000	2.924119e+000	1.008745e+000
5.186249992220837e-006	9.581970e+000	4.781736e+000	2.931956e+000	1.600626e+000
7.139374992220837e-006	1.013760e+001	5.058199e+000	2.938397e+000	2.168433e+000
8.115937492220837e-006	1.040243e+001	5.189972e+000	2.941188e+000	2.440622e+000
9.092499992220837e-006	1.065728e+001	5.316774e+000	2.943729e+000	2.703624e+000
1.006906249222084e-005	1.090118e+001	5.438129e+000	2.946041e+000	2.956451e+000
1.104562499222084e-005	1.113322e+001	5.553584e+000	2.948141e+000	3.198151e+000
1.202218749222084e-005	1.135253e+001	5.662704e+000	2.950045e+000	3.427813e+000
1.299874999222084e-005	1.155829e+001	5.765079e+000	2.951765e+000	3.644574e+000
1.397531249222084e-005	1.174973e+001	5.860328e+000	2.953312e+000	3.847618e+000
1.495187499222084e-005	1.192612e+001	5.948092e+000	2.954694e+000	4.036180e+000
1.592843749222084e-005	1.208681e+001	6.028043e+000	2.955919e+000	4.209550e+000
1.690499999222084e-005	1.223119e+001	6.099882e+000	2.956994e+000	4.367077e+000
1.788156249222085e-005	1.235873e+001	6.163338e+000	2.957924e+000	4.508168e+000
1.885812499222085e-005	1.246895e+001	6.218176e+000	2.958713e+000	4.632290e+000
1.983468749222085e-005	1.256143e+001	6.264189e+000	2.959365e+000	4.738978e+000
2.081124999222085e-005	1.263583e+001	6.301207e+000	2.959883e+000	4.827829e+000
2.178781249222085e-005	1.269187e+001	6.329091e+000	2.960270e+000	4.898509e+000
2.276437499222085e-005	1.272935e+001	6.347738e+000	2.960527e+000	4.950753e+000
2.374093749222085e-005	1.274812e+001	6.357079e+000	2.960655e+000	4.984363e+000
2.471749999222085e-005	1.274812e+001	6.357080e+000	2.960655e+000	4.999212e+000
2.569406249222085e-005	1.272936e+001	6.347743e+000	2.960527e+000	4.995246e+000
2.667062499222085e-005	1.269189e+001	6.329103e+000	2.960270e+000	4.972479e+000
2.764718749222085e-005	1.263588e+001	6.301234e+000	2.959884e+000	4.930997e+000
2.862374999222086e-005	1.256153e+001	6.264240e+000	2.959366e+000	4.870955e+000
2.960031249222086e-005	1.246912e+001	6.218263e+000	2.958714e+000	4.792581e+000
3.057687499222086e-005	1.235901e+001	6.163476e+000	2.957926e+000	4.696168e+000
3.155343749222086e-005	1.223161e+001	6.100088e+000	2.956997e+000	4.582080e+000
3.252999999222086e-005	1.208740e+001	6.028338e+000	2.955924e+000	4.450746e+000
3.350656249222086e-005	1.192693e+001	5.948498e+000	2.954700e+000	4.302660e+000
3.448312499222086e-005	1.175081e+001	5.860868e+000	2.953321e+000	4.138381e+000
3.545968749222086e-005	1.155970e+001	5.765782e+000	2.951777e+000	3.958524e+000
3.643624999222086e-005	1.135433e+001	5.663597e+000	2.950060e+000	3.763770e+000
3.741281249222086e-005	1.113546e+001	5.554699e+000	2.948161e+000	3.554849e+000
3.838937499222086e-005	1.090394e+001	5.439500e+000	2.946066e+000	3.332549e+000
3.936593749222086e-005	1.066062e+001	5.318435e+000	2.943761e+000	3.097705e+000
4.034249999222087e-005	1.040643e+001	5.191959e+000	2.941229e+000	2.851203e+000
4.229562499222087e-005	9.869304e+000	4.924706e+000	2.935394e+000	2.326972e+000
4.424874999222087e-005	9.300671e+000	4.641768e+000	2.928334e+000	1.767742e+000
4.620187499222087e-005	8.709099e+000	4.347411e+000	2.919698e+000	1.181923e+000
4.717843749222087e-005	8.407489e+000	4.197331e+000	2.914621e+000	8.817840e-001
4.815499999222087e-005	8.103508e+000	4.046068e+000	2.908906e+000	5.783265e-001
5.010812499222087e-005	7.493026e+000	3.742276e+000	2.894904e+000	-3.396821e-002
5.206124999222088e-005	6.886857e+000	3.440603e+000	2.875470e+000	-6.457520e-001
5.303781249222088e-005	6.588250e+000	3.291976e+000	2.862172e+000	-9.485726e-001
5.401437499222088e-005	6.294136e+000	3.145562e+000	2.844434e+000	-1.247823e+000
5.499093749222088e-005	6.005623e+000	3.001893e+000	2.818280e+000	-1.542377e+000
5.596749999222088e-005	5.723799e+000	2.861462e+000	2.773891e+000	-1.831126e+000
5.694406249222088e-005	5.449728e+000	2.724726e+000	2.697145e+000	-2.112983e+000
5.792062499222088e-005	5.184444e+000	2.592200e+000	2.587738e+000	-2.386887e+000
5.889718749222088e-005	4.928946e+000	2.464472e+000	2.464294e+000	-2.651807e+000
5.987374999222088e-005	4.684199e+000	2.342101e+000	2.342268e+000	-2.906746e+000
6.182687499222088e-005	4.230609e+000	2.115306e+000	2.115499e+000	-3.382886e+000
6.377999999222088e-005	3.830517e+000	1.915259e+000	1.915453e+000	-3.808144e+000
6.573312499222088e-005	3.489959e+000	1.744981e+000	1.745174e+000	-4.176124e+000
6.670968749222088e-005	3.343650e+000	1.671826e+000	1.672019e+000	-4.336869e+000
6.768624999222088e-005	3.214078e+000	1.607040e+000	1.607233e+000	-4.481291e+000
6.866281249222088e-005	3.101734e+000	1.550868e+000	1.551061e+000	-4.608846e+000
6.963937499222088e-005	3.007042e+000	1.503522e+000	1.503716e+000	-4.719055e+000
7.061593749222089e-005	2.930363e+000	1.465183e+000	1.465376e+000	-4.811502e+000
7.159249999222089e-005	2.871987e+000	1.435994e+000	1.436188e+000	-4.885840e+000
