time	V(a)	V(b)	V(out)
0.000000000000000e+000	7.996720e+000	3.993439e+000	3.009321e+000
4.618774402949263e-007	8.141796e+000	4.065616e+000	3.009321e+000
9.237548805898526e-007	8.286245e+000	4.137481e+000	3.009321e+000
1.385632320884779e-006	8.430066e+000	4.209034e+000	3.009321e+000
1.847509761179705e-006	8.573260e+000	4.280275e+000	3.009321e+000
2.309387201474631e-006	8.715826e+000	4.351204e+000	3.009321e+000
2.771264641769558e-006	8.857765e+000	4.421820e+000	3.009321e+000
3.233142082064483e-006	8.999077e+000	4.492125e+000	3.009321e+000
5.186267082064483e-006	9.582314e+000	4.782292e+000	3.009321e+000
7.139392082064483e-006	1.013794e+001	5.058722e+000	3.009321e+000
8.115954582064483e-006	1.040277e+001	5.190481e+000	3.009321e+000
9.092517082064484e-006	1.065762e+001	5.317270e+000	3.009321e+000
1.006907958206448e-005	1.090152e+001	5.438614e+000	3.009321e+000
1.104564208206449e-005	1.113356e+001	5.554057e+000	3.009321e+000
1.202220458206449e-005	1.135287e+001	5.663167e+000	3.009321e+000
1.299876708206449e-005	1.155863e+001	5.765534e+000	3.009321e+000
1.397532958206449e-005	1.175006e+001	5.860775e+000	3.009321e+000
1.495189208206449e-005	1.192646e+001	5.948532e+000	3.009321e+000
1.592845458206449e-005	1.208714e+001	6.028477e+000	3.009321e+000
1.690501708206449e-005	1.223153e+001	6.100309e+000	3.009321e+000
1.788157958206449e-005	1.235907e+001	6.163760e+000	3.009321e+000
1.885814208206449e-005	1.246928e+001	6.218594e+000	3.009321e+000
1.983470458206449e-005	1.256176e+001	6.264604e+000	3.009321e+000
2.081126708206449e-005	1.263616e+001	6.301618e+000	3.009321e+000
2.178782958206450e-005	1.269220e+001	6.329500e+000	3.009321e+000
2.276439208206450e-005	1.272968e+001	6.348145e+000	3.009321e+000
2.374095458206450e-005	1.274845e+001	6.357485e+000	3.009321e+000
2.471751708206450e-005	1.274845e+001	6.357486e+000	3.009321e+000
2.569407958206450e-005	1.272969e+001	6.348149e+000	3.009321e+000
2.667064208206450e-005	1.269222e+001	6.329510e+000	3.009321e+000
2.764720458206450e-005	1.263621e+001	6.301642e+000	3.009321e+000
2.862376708206450e-005	1.256185e+001	6.264651e+000	3.009321e+000
2.960032958206450e-005	1.246945e+001	6.218677e+000	3.009321e+000
3.057689208206450e-005	1.235933e+001	6.163893e+000	3.009321e+000
3.155345458206450e-005	1.223193e+001	6.100510e+000	3.009321e+000
3.253001708206450e-005	1.208772e+001	6.028765e+000	3.009321e+000
3.350657958206451e-005	1.192726e+001	5.948930e+000	3.009321e+000
3.448314208206451e-005	1.175113e+001	5.861307e+000	3.009321e+000
3.545970458206451e-005	1.156003e+001	5.766228e+000	3.009321e+000
3.643626708206451e-005	1.135465e+001	5.664051e+000	3.009321e+000
3.741282958206451e-005	1.113578e+001	5.555162e+000	3.009321e+000
3.838939208206451e-005	1.090425e+001	5.439974e+000	3.009321e+000
3.936595458206451e-005	1.066093e+001	5.318919e+000	3.009321e+000
4.034251708206451e-005	1.040674e+001	5.192456e+000	3.009321e+000
4.229564208206451e-005	9.869620e+000	4.925231e+000	3.009321e+000
4.424876708206452e-005	9.300987e+000	4.642328e+000	3.009321e+000
4.620189208206452e-005	8.709415e+000	4.348014e+000	3.009321e+000
4.717845458206452e-005	8.407804e+000	4.197959e+000	3.009321e+000
4.815501708206452e-005	8.103824e+000	4.046725e+000	3.009321e+000
5.010814208206452e-005	7.493342e+000	3.743003e+000	3.009321e+000
5.206126708206452e-005	6.887173e+000	3.441426e+000	3.009321e+000
5.303782958206452e-005	6.588567e+000	3.292866e+000	3.009321e+000
5.401439208206452e-005	6.294454e+000	3.146532e+000	3.007524e+000
5.499095458206452e-005	6.005941e+000	3.002800e+000	2.968669e+000
5.596751708206453e-005	5.724118e+000	2.862059e+000	2.862059e+000
5.792064208206453e-005	5.184762e+000	2.592381e+000	2.592381e+000
5.987376708206453e-005	4.684516e+000	2.342258e+000	2.342258e+000
6.182689208206452e-005	4.230924e+000	2.115462e+000	2.115462e+000
6.378001708206453e-005	3.830830e+000	1.915415e+000	1.915415e+000
6.573314208206453e-005	3.490271e+000	1.745135e+000	1.745135e+000
6.670970458206453e-005	3.343961e+000	1.671980e+000	1.671980e+000
6.768626708206453e-005	3.214388e+000	1.607194e+000	1.607194e+000
6.866282958206453e-005	3.102043e+000	1.551022e+000	1.551022e+000
6.963939208206453e-005	3.007351e+000	1.503676e+000	1.503676e+000
7.061595458206453e-005	2.930671e+000	1.465336e+000	1.465336e+000
7.159251708206453e-005	2.872294e+000	1.436147e+000	1.436147e+000
7.256907958206453e-005	2.832442e+000	1.416221e+000	1.416221e+000
7.354564208206453e-005	2.811267e+000	1.405634e+000	1.405634e+000
7.452220458206454e-005	2.808852e+000	1.404426e+000	1.404426e+000
7.549876708206454e-005	2.825207e+000	1.412604e+000	1.412604e+000
7.647532958206454e-005	2.860275e+000	1.430137e+000	1.430138e+000
7.745189208206454e-005	2.913924e+000	1.456962e+000	1.456962e+000
7.842845458206454e-005	2.985957e+000	1.492978e+000	1.492978e+000
