time	V(out)
0.000000000000000e+000	6.782990e+000
1.000000000000000e-009	6.774072e+000
8.525542916994964e-008	5.930839e+000
1.695108583398993e-007	5.090092e+000
2.537662875098490e-007	4.251830e+000
3.380217166797986e-007	3.416053e+000
4.222771458497482e-007	2.582762e+000
5.065325750196979e-007	1.751956e+000
5.907880041896473e-007	9.236348e-001
1.180612008379551e-006	-4.745844e+000
1.240085938534911e-006	-5.244998e+000
1.359033798845633e-006	-5.921748e+000
1.596929519467076e-006	-6.603836e+000
1.781143675003494e-006	-6.766031e+000
2.017874547028808e-006	-6.781195e+000
2.240366006910911e-006	-6.782930e+000
5.000000000000000e-004	-6.782990e+000
5.039062500000000e-004	-6.766689e+000
5.228794642857143e-004	-6.685870e+000
5.418526785714287e-004	-6.605198e+000
5.608258928571430e-004	-6.524673e+000
5.797991071428573e-004	-6.444295e+000
5.987723214285715e-004	-6.364064e+000
6.177455357142859e-004	-6.283980e+000
6.367187500000001e-004	-6.204043e+000
7.148437500000002e-004	-5.879489e+000
7.929687500000003e-004	-5.563636e+000
9.101562500000004e-004	-5.112795e+000
1.027343750000001e-003	-4.698108e+000
1.144531250000001e-003	-4.328553e+000
1.261718750000001e-003	-4.012129e+000
1.378906250000001e-003	-3.755686e+000
1.496093750000001e-003	-3.564775e+000
1.613281250000001e-003	-3.443529e+000
1.730468750000001e-003	-3.394571e+000
1.847656250000001e-003	-3.418963e+000
1.964843750000001e-003	-3.516176e+000
2.082031250000001e-003	-3.684105e+000
2.199218750000002e-003	-3.919116e+000
2.316406250000002e-003	-4.216121e+000
2.433593750000002e-003	-4.568691e+000
2.550781250000002e-003	-4.969194e+000
2.667968750000002e-003	-5.408960e+000
2.746093750000002e-003	-5.719278e+000
2.824218750000002e-003	-6.039841e+000
2.902343750000002e-003	-6.367559e+000
2.980468750000002e-003	-6.699280e+000
3.058593750000002e-003	-7.031806e+000
3.136718750000002e-003	-7.361936e+000
3.214843750000002e-003	-7.686490e+000
3.292968750000003e-003	-8.002343e+000
