#vtc circ_1 relazione_2
#vin,pp[mV] #vin/div[mv] #vout.pp[V]    #vout/div[V]
198 50  1.33    0.2
312 50  1.98    0.5
408 50  2.66    0.5
500 100 3.32    0.5
596 100 3.96    0.5
692 100 4.64    0.5
792 100 5.32    1
888 200 5.96    1
984 200 6.64    1
1180    200 7.92    1
1480    200 9.92    2
1860    500 12.6    2  
2140    500 14.5    2
2440    500 16.8    5
2740    500 18.8    5
3520    500 24.0    5
3720    500 25.4    5
4280    1000    28.0    5   
4720    1000    28.0    5
5200    1000    28.0    5
