time	V(out)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-009	-5.792858e-005
6.480357198368331e-009	-4.073300e-005
1.196071439673666e-008	4.517897e-005
1.744107159510499e-008	1.998074e-004
2.292142879347333e-008	4.231521e-004
2.840178599184166e-008	7.152133e-004
3.388214319020999e-008	1.075991e-003
3.936250038857831e-008	1.505485e-003
7.776250077753645e-008	4.801662e-003
1.545625015554528e-007	1.147387e-002
6.153625062229505e-007	4.947011e-002
2.206325012446281e-006	1.799200e-001
3.182887512446281e-006	2.593787e-001
3.305251796382526e-006	2.694518e-001
3.427616080318771e-006	2.794771e-001
3.549980364255015e-006	2.894545e-001
3.672344648191260e-006	2.993841e-001
3.794708932127505e-006	3.092659e-001
3.917073216063750e-006	3.190998e-001
4.039437499999994e-006	3.288858e-001
4.087437499999977e-006	3.326174e-001
4.151437499999955e-006	3.377489e-001
4.279437499999910e-006	3.480727e-001
4.325008928571323e-006	3.517177e-001
4.370580357142736e-006	3.553694e-001
4.416151785714149e-006	3.590276e-001
4.461723214285561e-006	3.626925e-001
4.507294642856974e-006	3.663639e-001
4.552866071428386e-006	3.700420e-001
4.598437499999799e-006	3.737267e-001
5.001000000000000e-006	4.060080e-001
5.002000000000001e-006	4.061460e-001
5.007845714285715e-006	4.065909e-001
5.013691428571430e-006	4.069596e-001
5.019537142857145e-006	4.072521e-001
5.025382857142859e-006	4.074685e-001
5.031228571428574e-006	4.076087e-001
5.037074285714289e-006	4.076727e-001
5.042920000000004e-006	4.076606e-001
5.083880000000007e-006	4.073849e-001
5.165800000000013e-006	4.068649e-001
5.329640000000025e-006	4.064655e-001
5.657320000000050e-006	4.055822e-001
1.928330892857150e-005	3.706560e-001
3.290929785714296e-005	3.382263e-001
4.653528678571440e-005	3.082933e-001
6.016127571428586e-005	2.808568e-001
7.378726464285731e-005	2.559169e-001
8.741325357142876e-005	2.334736e-001
1.010392425000002e-004	2.135268e-001
1.147111175000002e-004	1.950826e-001
1.283829925000002e-004	1.779602e-001
1.420548675000002e-004	1.621595e-001
1.557267425000003e-004	1.476805e-001
1.693986175000003e-004	1.345232e-001
1.830704925000003e-004	1.226876e-001
1.967423675000003e-004	1.121738e-001
2.105537514285717e-004	1.023930e-001
2.243651353571431e-004	9.331873e-002
2.381765192857146e-004	8.495083e-002
2.519879032142860e-004	7.728934e-002
2.657992871428575e-004	7.033427e-002
2.796106710714289e-004	6.408560e-002
2.934220550000003e-004	5.854335e-002
3.075124567857146e-004	5.334377e-002
3.216028585714290e-004	4.852555e-002
3.356932603571433e-004	4.408869e-002
3.497836621428575e-004	4.003321e-002
3.638740639285718e-004	3.635909e-002
3.779644657142862e-004	3.306633e-002
3.920548675000004e-004	3.015494e-002
4.065637960714290e-004	2.740361e-002
4.210727246428576e-004	2.485865e-002
4.355816532142862e-004	2.252006e-002
4.500905817857148e-004	2.038783e-002
4.645995103571434e-004	1.846197e-002
4.791084389285719e-004	1.674248e-002
4.936173675000005e-004	1.522935e-002
5.089633496428576e-004	1.376663e-002
5.243093317857148e-004	1.241837e-002
5.396553139285719e-004	1.118458e-002
5.550012960714292e-004	1.006527e-002
5.703472782142863e-004	9.060426e-003
5.856932603571435e-004	8.170054e-003
6.010392425000006e-004	7.394153e-003
6.179198228571435e-004	6.619858e-003
6.348004032142863e-004	5.910596e-003
6.516809835714292e-004	5.266366e-003
6.685615639285721e-004	4.687168e-003
6.854421442857150e-004	4.173002e-003
7.023227246428579e-004	3.723868e-003
7.192033050000007e-004	3.339767e-003
7.392925907142864e-004	2.931492e-003
7.593818764285721e-004	2.562033e-003
7.794711621428580e-004	2.231390e-003
7.995604478571437e-004	1.939563e-003
8.196497335714294e-004	1.686552e-003
8.397390192857151e-004	1.472357e-003
8.598283050000008e-004	1.296978e-003
8.681988407142865e-004	1.226462e-003
8.765693764285722e-004	1.159335e-003
8.849399121428579e-004	1.095596e-003
8.933104478571438e-004	1.035246e-003
9.016809835714295e-004	9.782843e-004
9.100515192857152e-004	9.247109e-004
9.184220550000009e-004	8.745259e-004
9.193986175000009e-004	8.688003e-004
9.309128150000008e-004	8.048566e-004
9.424270125000007e-004	7.449137e-004
9.539412100000006e-004	6.889717e-004
9.654554075000005e-004	6.370306e-004
9.769696050000005e-004	5.890904e-004
9.884838025000003e-004	5.451511e-004
9.999980000000002e-004	5.052127e-004
9.999990000000001e-004	5.052092e-004
1.000000000000000e-003	5.052076e-004
