time	V(n003)
0.000000000000000e+000	0.000000e+000
9.765624723809263e-013	3.955226e-011
1.101391508454563e-012	4.514267e-011
3.614367466105624e-011	3.933302e-008
7.118595781365792e-011	1.323531e-007
1.062282409662596e-010	2.791053e-007
1.412705241188613e-010	4.795897e-007
1.763128072714629e-010	7.338063e-007
2.113550904240646e-010	1.041755e-006
2.463973735766662e-010	1.403436e-006
4.177450313739140e-010	3.623239e-006
5.478719120706785e-010	5.989263e-006
7.135767753464419e-010	9.853727e-006
8.467093098416948e-010	1.358626e-005
1.000000000000000e-009	1.842838e-005
1.015329069015831e-009	1.895996e-005
1.045987207047492e-009	2.001490e-005
1.229936035237458e-009	2.606999e-005
1.475201139490746e-009	3.346145e-005
1.965731347997323e-009	4.624455e-005
2.946791765010477e-009	6.662584e-005
4.095493833737302e-009	8.428624e-005
5.197468826375407e-009	9.602856e-005
6.372040235008034e-009	1.046150e-004
7.477931466159195e-009	1.102671e-004
8.643953464933324e-009	1.145340e-004
9.786403789225277e-009	1.176853e-004
1.100996094788375e-008	1.203986e-004
1.226775286810993e-008	1.228531e-004
1.367979741539073e-008	1.255269e-004
1.526472485034873e-008	1.287453e-004
1.726234420101378e-008	1.334913e-004
1.975983218747373e-008	1.409842e-004
2.318338510440803e-008	1.548114e-004
2.795928715973042e-008	1.824159e-004
3.523548822128289e-008	2.459188e-004
4.623860440629629e-008	3.959427e-004
6.236307580998126e-008	7.411295e-004
8.459214315839885e-008	1.443897e-003
1.054417185933833e-007	2.328774e-003
1.185601873659241e-007	3.012272e-003
1.272290925761902e-007	3.523077e-003
1.335163157768048e-007	3.918423e-003
1.400754626366085e-007	4.346179e-003
1.505341134383334e-007	5.040474e-003
1.574286912815727e-007	5.499774e-003
1.639767440075731e-007	5.932805e-003
1.708899542618665e-007	6.383127e-003
1.777472476509262e-007	6.821622e-003
1.839740140208324e-007	7.212308e-003
1.894493728937399e-007	7.549874e-003
1.952909288908320e-007	7.904682e-003
2.013474530350981e-007	8.267891e-003
2.108874038218032e-007	8.834718e-003
2.178175054207754e-007	9.244544e-003
2.246998075330777e-007	9.651260e-003
2.316643607938238e-007	1.006403e-002
2.385264320448068e-007	1.047261e-002
2.448721213857044e-007	1.085239e-002
2.503151930774697e-007	1.117978e-002
2.565781987084320e-007	1.155808e-002
2.622199117122416e-007	1.190002e-002
2.702966272679780e-007	1.239072e-002
2.827570103577683e-007	1.314826e-002
2.912057510431252e-007	1.366134e-002
2.982802774192110e-007	1.408993e-002
3.053129594985737e-007	1.451475e-002
3.123354316408218e-007	1.493764e-002
3.200247179532173e-007	1.539927e-002
3.386308672958597e-007	1.651145e-002
3.523273773496722e-007	1.732763e-002
3.620518710381947e-007	1.790645e-002
3.712680697918483e-007	1.845464e-002
3.824208188088920e-007	1.911771e-002
3.932350540900476e-007	1.976023e-002
4.072799903278787e-007	2.059360e-002
4.269954332919303e-007	2.176123e-002
4.420338007873465e-007	2.264969e-002
4.575751237524469e-007	2.356545e-002
4.741786302416411e-007	2.454120e-002
4.981401853641232e-007	2.594574e-002
5.174664695387112e-007	2.707552e-002
5.421965259931834e-007	2.851687e-002
5.679056290735202e-007	3.001032e-002
5.984439095025344e-007	3.177711e-002
6.367639416171903e-007	3.398369e-002
6.812357374104751e-007	3.652959e-002
7.418590327393125e-007	3.997605e-002
1.211304029326673e-006	6.556314e-002
1.680749025914033e-006	8.971848e-002
2.150194022501393e-006	1.124421e-001
2.619639019088753e-006	1.337339e-001
3.089084015676113e-006	1.535940e-001
3.558529012263473e-006	1.720224e-001
4.027974008850832e-006	1.890190e-001
4.781322223136546e-006	2.135662e-001
5.534670437422260e-006	2.357477e-001
6.288018651707975e-006	2.555637e-001
7.041366865993689e-006	2.730141e-001
7.794715080279404e-006	2.880990e-001
8.548063294565119e-006	3.008182e-001
9.301411508850830e-006	3.111719e-001
9.929201687422256e-006	3.186594e-001
1.055699186599368e-005	3.251980e-001
1.118478204456511e-005	3.307876e-001
1.181257222313653e-005	3.354284e-001
1.244036240170796e-005	3.391202e-001
1.306815258027938e-005	3.418631e-001
1.369594275885080e-005	3.436571e-001
1.428188025885080e-005	3.447423e-001
1.486781775885080e-005	3.453437e-001
1.545375525885079e-005	3.454611e-001
1.603969275885079e-005	3.450947e-001
1.662563025885079e-005	3.442443e-001
1.721156775885078e-005	3.429101e-001
1.779750525885078e-005	3.410919e-001
1.863455883027935e-005	3.378338e-001
1.947161240170791e-005	3.341024e-001
2.030866597313648e-005	3.298980e-001
2.114571954456505e-005	3.252203e-001
2.198277311599361e-005	3.200695e-001
2.281982668742218e-005	3.144456e-001
2.365688025885074e-005	3.083484e-001
2.481480436599360e-005	2.994892e-001
2.597272847313646e-005	2.904613e-001
2.713065258027931e-005	2.812645e-001
2.828857668742217e-005	2.718990e-001
2.944650079456503e-005	2.623647e-001
3.060442490170788e-005	2.526616e-001
3.176234900885074e-005	2.427897e-001
3.310163472313649e-005	2.315689e-001
3.444092043742224e-005	2.206041e-001
3.578020615170800e-005	2.098954e-001
3.711949186599374e-005	1.994427e-001
3.845877758027950e-005	1.892461e-001
3.979806329456526e-005	1.793055e-001
4.113734900885100e-005	1.696210e-001
4.250453650885104e-005	1.601714e-001
4.387172400885108e-005	1.510979e-001
4.523891150885112e-005	1.424004e-001
4.660609900885116e-005	1.340790e-001
4.797328650885120e-005	1.261337e-001
4.934047400885124e-005	1.185645e-001
5.070766150885128e-005	1.113713e-001
5.211670168742275e-005	1.043630e-001
5.352574186599421e-005	9.769910e-002
5.493478204456569e-005	9.137955e-002
5.634382222313716e-005	8.540438e-002
5.775286240170862e-005	7.977359e-002
5.916190258028009e-005	7.448719e-002
6.057094275885156e-005	6.954516e-002
6.196603204456589e-005	6.494599e-002
6.336112133028022e-005	6.059304e-002
6.475621061599454e-005	5.648633e-002
6.615129990170887e-005	5.262585e-002
6.754638918742320e-005	4.901160e-002
6.894147847313751e-005	4.564357e-002
7.033656775885184e-005	4.252178e-002
7.153634454456616e-005	3.998926e-002
7.273612133028049e-005	3.758285e-002
7.393589811599480e-005	3.530256e-002
7.513567490170912e-005	3.314838e-002
7.633545168742345e-005	3.112031e-002
7.753522847313776e-005	2.921836e-002
7.873500525885208e-005	2.744252e-002
8.056257222313784e-005	2.495259e-002
8.239013918742362e-005	2.264413e-002
8.421770615170938e-005	2.051712e-002
8.604527311599515e-005	1.857158e-002
8.787284008028092e-005	1.680750e-002
8.970040704456668e-005	1.522489e-002
9.152797400885245e-005	1.382374e-002
9.162563025885245e-005	1.375066e-002
9.279750525885248e-005	1.290915e-002
9.396938025885252e-005	1.211180e-002
9.514125525885255e-005	1.135859e-002
9.631313025885258e-005	1.064954e-002
9.748500525885262e-005	9.984637e-003
9.865688025885265e-005	9.363883e-003
9.982875525885269e-005	8.787280e-003
9.992641150885269e-005	8.740325e-003
1.000000000000000e-004	8.705070e-003
