#time	V(vd)	V(vin)
#vin e vd con forma d onda seno a 100Hz
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.804151805117727e-005	1.590034e-002	1.133879e-001
3.608303610235454e-005	3.179027e-002	2.267263e-001
5.412455415353180e-005	4.766978e-002	3.400151e-001
7.216607220470908e-005	6.353887e-002	4.532544e-001
9.020759025588635e-005	7.939754e-002	5.664441e-001
1.082491083070636e-004	9.524579e-002	6.795843e-001
1.262906263582408e-004	1.110836e-001	7.926750e-001
1.555875013582408e-004	1.367334e-001	9.760287e-001
1.848843763582408e-004	1.622913e-001	1.159052e+000
2.141812513582408e-004	1.877172e-001	1.341682e+000
2.434781263582408e-004	2.129500e-001	1.523858e+000
2.727750013582408e-004	2.378964e-001	1.705517e+000
3.020718763582409e-004	2.624159e-001	1.886599e+000
3.313687513582409e-004	2.863052e-001	2.067041e+000
3.606656263582409e-004	3.092922e-001	2.246783e+000
3.899625013582409e-004	3.310513e-001	2.425764e+000
4.192593763582410e-004	3.512528e-001	2.603922e+000
4.485562513582410e-004	3.696341e-001	2.781199e+000
4.778531263582410e-004	3.860618e-001	2.957533e+000
5.071500013582410e-004	4.005511e-001	3.132865e+000
5.364468763582411e-004	4.132385e-001	3.307135e+000
5.657437513582411e-004	4.243289e-001	3.480285e+000
5.950406263582411e-004	4.340472e-001	3.652255e+000
6.243375013582412e-004	4.426056e-001	3.822988e+000
6.536343763582412e-004	4.501902e-001	3.992426e+000
7.122281263582412e-004	4.630343e-001	4.327186e+000
7.540808049296699e-004	4.704119e-001	4.563128e+000
7.959334835010985e-004	4.771748e-001	4.795521e+000
8.377861620725271e-004	4.833231e-001	5.024364e+000
8.796388406439557e-004	4.888569e-001	5.249657e+000
9.214915192153843e-004	4.937760e-001	5.471401e+000
9.633441977868130e-004	4.980805e-001	5.689594e+000
1.005196876358242e-003	5.017704e-001	5.904238e+000
1.097272769215384e-003	5.088853e-001	6.364363e+000
1.189348662072528e-003	5.152490e-001	6.799794e+000
1.281424554929670e-003	5.208615e-001	7.210532e+000
1.373500447786813e-003	5.257228e-001	7.596577e+000
1.465576340643956e-003	5.298329e-001	7.957928e+000
1.557652233501099e-003	5.331919e-001	8.294586e+000
1.649728126358242e-003	5.357996e-001	8.606550e+000
1.905029465643955e-003	5.417478e-001	9.313935e+000
2.160330804929668e-003	5.455828e-001	9.771737e+000
2.415632144215381e-003	5.473047e-001	9.979957e+000
2.670933483501094e-003	5.469136e-001	9.938593e+000
2.926234822786807e-003	5.444093e-001	9.647648e+000
3.181536162072520e-003	5.397920e-001	9.107119e+000
3.436837501358233e-003	5.330616e-001	8.317008e+000
3.520542858501089e-003	5.303164e-001	8.011159e+000
3.604248215643946e-003	5.268729e-001	7.685568e+000
3.687953572786803e-003	5.227309e-001	7.340235e+000
3.771658929929660e-003	5.178904e-001	6.975161e+000
3.855364287072517e-003	5.123515e-001	6.590344e+000
3.939069644215374e-003	5.061142e-001	6.185785e+000
4.022775001358231e-003	4.991784e-001	5.761485e+000
4.060442412072517e-003	4.956208e-001	5.566163e+000
4.098109822786802e-003	4.915402e-001	5.368006e+000
4.135777233501089e-003	4.869366e-001	5.167014e+000
4.173444644215375e-003	4.818101e-001	4.963186e+000
4.211112054929661e-003	4.761606e-001	4.756523e+000
